Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2020,Aalborg,2004.0,Begge,1971,169.921867072552,61027.194317605274,1.6235413495687467,79.09690512430238,15.423642820903094,3.8559107052257735,Urban
2021,Aalborg,2005.0,Begge,1980,169.31060606060606,59894.9494949495,2.474747474747475,79.1919191919192,14.444444444444443,3.888888888888889,Urban
2022,Aalborg,2006.0,Begge,2076,170.82514450867052,62177.40847784201,1.97495183044316,78.61271676300578,15.1252408477842,4.2870905587668595,Urban
2023,Aalborg,2007.0,Begge,2064,170.90358527131784,62126.5503875969,2.3255813953488373,77.37403100775194,16.13372093023256,4.166666666666666,Urban
2024,Aalborg,2008.0,Begge,2173,170.99447768062586,61823.423838011964,2.2549470777726643,79.33732167510354,14.127933732167511,4.2797975149562815,Urban
2025,Aalborg,2009.0,Begge,2081,170.86737145603075,61114.031715521385,2.4026910139356077,80.87457952907256,13.310908217203268,3.411821239788563,Urban
2014,Aalborg,1998.0,Kvinde,754,164.57161803713527,55134.48275862069,2.2546419098143233,85.54376657824933,10.610079575596817,1.5915119363395225,Urban
2015,Aalborg,1999.0,Kvinde,999,165.24724724724726,57132.932932932934,1.9019019019019021,80.98098098098097,14.414414414414415,2.7027027027027026,Urban
2016,Aalborg,2000.0,Kvinde,988,165.4908906882591,57929.04858299595,1.6194331983805668,81.88259109311741,13.663967611336034,2.834008097165992,Urban
2017,Aalborg,2001.0,Kvinde,928,166.34159482758622,58577.15517241379,1.5086206896551724,81.89655172413794,13.685344827586206,2.9094827586206895,Urban
2018,Aalborg,2002.0,Kvinde,970,165.85360824742267,58827.73195876289,2.268041237113402,79.0721649484536,14.948453608247423,3.711340206185567,Urban
2019,Aalborg,2003.0,Kvinde,989,165.98887765419616,59155.00505561173,1.9211324570273005,78.36198179979777,15.57128412537917,4.145601617795753,Urban
2020,Aalborg,2004.0,Kvinde,982,165.86252545824848,58394.39918533605,1.6293279022403258,79.73523421588594,14.867617107942973,3.7678207739307537,Urban
2021,Aalborg,2005.0,Kvinde,918,165.20915032679738,57230.936819172115,2.6143790849673203,80.06535947712419,14.596949891067537,2.7233115468409586,Urban
2022,Aalborg,2006.0,Kvinde,1013,165.7295162882527,58272.95162882527,2.270483711747285,79.56564659427443,14.906219151036526,3.257650542941757,Urban
2023,Aalborg,2007.0,Kvinde,1018,165.5599214145383,58348.33005893909,2.455795677799607,77.70137524557956,16.699410609037326,3.143418467583497,Urban
2024,Aalborg,2008.0,Kvinde,1004,165.70318725099602,58659.56175298805,2.689243027888446,77.19123505976096,16.03585657370518,4.083665338645418,Urban
2025,Aalborg,2009.0,Kvinde,1008,165.48511904761904,57276.88492063492,2.6785714285714284,82.2420634920635,12.202380952380953,2.876984126984127,Urban
2014,Aalborg,1998.0,Mand,839,173.00595947556616,61817.40166865316,1.5494636471990464,79.9761620977354,15.01787842669845,3.4564958283671037,Urban
2015,Aalborg,1999.0,Mand,1007,173.62264150943398,63033.366434955315,1.787487586891758,79.54319761668322,14.597815292949354,4.07149950347567,Urban
2016,Aalborg,2000.0,Mand,1050,175.67904761904762,65453.142857142855,1.9047619047619049,78.66666666666666,15.428571428571427,4.0,Urban
2017,Aalborg,2001.0,Mand,1032,175.13178294573643,64696.02713178295,2.2286821705426356,78.10077519379846,15.01937984496124,4.651162790697675,Urban
2018,Aalborg,2002.0,Mand,1039,175.42733397497594,65341.000962463906,1.9249278152069296,76.90086621751684,16.07314725697786,5.101058710298364,Urban
2019,Aalborg,2003.0,Mand,1036,175.8108108108108,65307.91505791506,1.5444015444015444,80.21235521235522,13.030888030888029,5.212355212355212,Urban
2020,Aalborg,2004.0,Mand,989,173.95247724974723,63641.35490394338,1.6177957532861478,78.46309403437816,15.975733063700709,3.9433771486349847,Urban
2021,Aalborg,2005.0,Mand,1062,172.85593220338984,62197.740112994354,2.354048964218456,78.43691148775895,14.312617702448211,4.8964218455743875,Urban
2022,Aalborg,2006.0,Mand,1063,175.68109125117593,65898.21260583255,1.6933207902163687,77.70460959548447,15.33396048918156,5.268109125117592,Urban
2023,Aalborg,2007.0,Mand,1046,176.10420650095602,65803.63288718929,2.198852772466539,77.05544933078394,15.583173996175908,5.162523900573614,Urban
2024,Aalborg,2008.0,Mand,1169,175.53892215568862,64540.71856287425,1.8819503849443968,81.18049615055604,12.489307100085544,4.448246364414029,Urban
2025,Aalborg,2009.0,Mand,1073,175.92357875116497,64718.73252562908,2.1435228331780056,79.58993476234856,14.352283317800559,3.91425908667288,Urban
2014,Aarhus,1998.0,Begge,2442,170.37674037674037,60650.0819000819,2.334152334152334,81.36773136773137,13.718263718263717,2.5798525798525795,Urban
